epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0662,1.57291,4.32753,1.09761,0.01395,0.43618,0.09504,0.05251,1.08509,4.1164,0.87841,0.000192157,0.000192157,0.000192157
2,16.5461,1.34156,3.41452,0.96843,0.32962,0.28021,0.29533,0.19946,1.0876,2.52952,0.87115,0.000384314,0.000384314,0.000384314
3,22.5621,1.29394,2.72419,0.95405,0.29949,0.43353,0.41485,0.28594,1.09717,1.83958,0.88858,0.000572591,0.000572591,0.000572591
4,28.4454,1.22699,2.25622,0.95104,0.27045,0.43923,0.44209,0.30291,1.08445,1.78387,0.9103,0.000570536,0.000570536,0.000570536
5,33.9509,1.22886,2.22018,0.95026,0.31916,0.43868,0.44034,0.29135,1.08783,1.56413,0.90184,0.000564715,0.000564715,0.000564715
6,39.1586,1.21456,1.96913,0.93746,0.37875,0.50113,0.48708,0.34301,1.05202,1.55116,0.90213,0.000558894,0.000558894,0.000558894
7,44.3464,1.16697,1.85879,0.9294,0.61447,0.44835,0.48294,0.34937,1.01528,1.4114,0.89769,0.000553073,0.000553073,0.000553073
8,50.0751,1.1481,1.68011,0.91935,0.37602,0.48964,0.51995,0.37805,0.99639,1.41831,0.89294,0.000547252,0.000547252,0.000547252
9,63.2247,1.12361,1.70434,0.92108,0.51958,0.60069,0.63619,0.45316,1.02759,1.27915,0.89162,0.00054143,0.00054143,0.00054143
10,68.6095,1.08958,1.59403,0.90936,0.60339,0.52627,0.60561,0.44538,0.95269,1.20815,0.87906,0.000535609,0.000535609,0.000535609
11,73.5454,1.06578,1.48328,0.90167,0.5826,0.5827,0.65598,0.48229,0.94377,1.09178,0.87707,0.000529788,0.000529788,0.000529788
12,78.6581,1.01134,1.41811,0.89886,0.66057,0.64798,0.709,0.52461,0.90231,1.13316,0.87163,0.000523967,0.000523967,0.000523967
13,84.281,1.03403,1.3529,0.9004,0.77276,0.62169,0.7697,0.57881,0.91315,1.04748,0.87156,0.000518146,0.000518146,0.000518146
14,89.0148,1.00122,1.23775,0.88865,0.78323,0.6462,0.79264,0.60347,0.88014,0.93163,0.87041,0.000512324,0.000512324,0.000512324
15,94.1431,1.00725,1.23693,0.89206,0.69569,0.75656,0.78375,0.58638,0.92361,0.9235,0.87903,0.000506503,0.000506503,0.000506503
16,99.3137,1.00088,1.21048,0.89587,0.74141,0.80836,0.85474,0.64718,0.90184,0.83746,0.87659,0.000500682,0.000500682,0.000500682
17,104.41,0.96313,1.11267,0.88812,0.88824,0.80832,0.90369,0.68676,0.84642,0.81228,0.86552,0.000494861,0.000494861,0.000494861
